,storyline,cast
Creed (II) (2015),"In South Central Los Angeles, street cops Brian and Mike are partners - balls-out cowboys patrolling the streets as Latino gangs are in a power struggle with Blacks. Brian and Mike get lucky a couple of times, making big drug and human-trafficking busts, so a Mexican cartel orders their deaths. We meet Mike's pregnant wife (whom he married out of high school) and watch Brian's search for a soul mate. There are internal squabbles within the ranks of the LAPD and lots of squad-car conversation. Can the lads escape the cartel's murderous reach? —<jhailey@hotmail.com>","{'Brian Taylor': 'Jake Gyllenhaal', 'Mike Zavala': 'Michael Peña', 'Gabby': 'Natalie Martinez', 'Janet': 'Anna Kendrick', 'Van Hauser': 'David Harbour'}"
Leviafan (2014),"Seasoned musician Jackson Maine (Bradley Cooper) discovers-and falls in love with-struggling artist Ally (Gaga). She has just about given up on her dream to make it big as a singer - until Jack coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jack fights an ongoing battle with his own internal demons.","{'Ally': 'Lady Gaga', 'Jack': 'Bradley Cooper', 'Bobby': 'Sam Elliott', 'Lorenzo': 'Andrew Dice Clay', 'Rez Gavron': 'Rafi Gavron'}"
Hell or High Water (II) (2016),"Following the murder of her father by hired hand Tom Chaney, 14-year-old farm girl Mattie Ross sets out to capture the killer. To aid her, she hires the toughest U.S. marshal she can find, a man with ""true grit,"" Reuben J. ""Rooster"" Cogburn. Mattie insists on accompanying Cogburn, whose drinking, sloth, and generally reprobate character do not augment her faith in him. Against his wishes, she joins him in his trek into the Indian Nations in search of Chaney. They are joined by Texas Ranger LaBoeuf, who wants Chaney for his own purposes. The unlikely trio find danger and surprises on the journey, and each has his or her ""grit"" tested.","{'Rooster Cogburn': 'Jeff Bridges', 'Mattie Ross': 'Hailee Steinfeld', 'LaBoeuf': 'Matt Damon', 'Tom Chaney': 'Josh Brolin', 'Lucky Ned Pepper': 'Barry Pepper'}"
Philomena (2013),"Anton is a doctor who commutes between his home in an idyllic town in Denmark, and his work at an African refugee camp. In these two very different worlds, he and his family are faced with conflicts that lead them to difficult choices between revenge and forgiveness. Anton and his wife Marianne, who have two young sons, are separated and struggling with the possibility of divorce. Their older, ten-year-old son Elias is being bullied at school, until he is defended by Christian, a new boy who has just moved from London with his father, Claus. Christian's mother recently lost her battle with cancer, and Christian is greatly troubled by her death. Elias and Christian quickly form a strong bond, but when Christian involves Elias in a dangerous act of revenge with potentially tragic consequences, their friendship is tested and lives are put in danger. Ultimately, it is their parents who are left to help them come to terms with the complexity of human emotions, pain and empathy.","{'Anton': 'Mikael Persbrandt', 'Najeeb': 'Wil Johnson', 'Patient': 'Eddy Kimani', 'Sygeplejerske': 'Emily Mulaya', 'Læge': 'Gabriel Muli'}"
El cuerpo (2012),"In a happy suburban neighborhood surrounded by white picket fences with flowering rose bushes, sits a black house with a dead lawn. Unbeknownst to the neighbors, hidden beneath this house is a vast secret hideout. Surrounded by a small army of minions, we discover Gru (Steve Carell), planning the biggest heist in the history of the world. He is going to steal the moon. Gru delights in all things wicked. Armed with his arsenal of shrink rays, freeze rays, and battle-ready vehicles for land and air, he vanquishes all who stand in his way. Until the day he encounters the immense will of three little orphaned girls who look at him and see something that no one else has ever seen: a potential Dad. The world's greatest villain has just met his greatest challenge: three little girls named Margo (Miranda Cosgrove), Edith (Dana Gaier), and Agnes (Elsie Fisher).","{'Gru': 'Steve Carell', 'Vector': 'Jason Segel', 'Dr. Nefario': 'Russell Brand', ""Gru's Mom"": 'Julie Andrews', 'Mr. Perkins': 'Will Arnett'}"
Serbuan maut (2011),"Adam is a 27 year old writer of radio programs and is diagnosed with a rare form of spinal cancer. With the help of his best friend, his mother, and a young therapist at the cancer center, Adam learns what and who the most important things in his life are.","{'Adam': 'Joseph Gordon-Levitt', 'Kyle': 'Seth Rogen', 'Katherine': 'Anna Kendrick', 'Rachael': 'Bryce Dallas Howard', 'Diane': 'Anjelica Huston'}"
End of Watch (2012),"Juan Oliver wants to make a good impression at his new job as a prison officer and reports to work a day early, leaving his pregnant wife, Elena, at home. His destiny is forever changed by this fateful decision, as during his tour of the prison, an accident occurs that knocks him unconscious. He is rushed to the empty but visibly haunted walls of cell 211. As this diversion unfolds, inmates of the high security cell block strategically break free and hijack the penitentiary. Aware of the violence that is to come, the prison officers flee, leaving Juan stranded and unconscious in the heart of the riot. When Juan awakens, he immediately takes stock of the situation; in order to survive, he must pretend to be a prisoner. Juan develops a dialogue with the violent leader of the riot, Badass, and the two begin a partnership, Badass fully believing that Juan is a new inmate. Negotiations go smoothly until the rioters take three ETA (the militant Basque separatist organization) prisoners hostage. When this hits the news, it triggers a stream of prison riots throughout the country as well as demonstrations in the Basque Country. Juan quickly realizes that he is on his own as the situation becomes more politicized and the government gets involved, afraid of potential ramifications in the Basque community. As the drama heightens, unexpected shifts in character both within and without the prison occur.","{'Malamadre': 'Luis Tosar', 'Juan Oliver': 'Alberto Ammann', 'José Utrilla': 'Antonio Resines', 'Ernesto Almansa': 'Manuel Morón', 'Apache': 'Carlos Bardem'}"
A Star Is Born (2018),"Oakland A's GM Billy Beane is handicapped with the lowest salary constraint in baseball. If he ever wants to win the World Series, Billy must find a competitive advantage. Billy is about to turn baseball on its ear when he uses statistical data to analyze and place value on the players he picks for the team.","{'Billy Beane': 'Brad Pitt', 'Peter Brand': 'Jonah Hill', 'Art Howe': 'Philip Seymour Hoffman', 'Sharon': 'Robin Wright', 'Scott Hatteberg': 'Chris Pratt'}"
The Brave (2010),"In honor of his late wife who died in a flaming car accident, scientist, Dr. Robert Ledgard, is trying to synthesize the perfect skin which can withstand burns, cuts or any other kind of damage. As he gets closer to perfecting this skin on his flawless patient, the scientific community starts growing skeptical and his past is revealed that shows how his patient is closely linked to tragic events he would like to forget.","{'Robert Ledgard': 'Antonio Banderas', 'Vera Cruz': 'Elena Anaya', 'Marilia': 'Marisa Paredes', 'Vicente': 'Jan Cornet', 'Zeca': 'Roberto Álamo'}"
Hævnen (2010),"Searching for family. In the early twenty-first century, zombies have taken over America. A shy and inexperienced college student in Texas has survived by following his 30 rules: such as ""look in the back seat,"" ""double-tap,"" ""avoid public restrooms."" He decides to travel to Ohio to see if his parents are alive. He gets a ride with a boisterous zombie-hating good-old boy headed for Florida, and soon they confront a young woman whose sister has been bitten by a zombie and wants to be put out of her misery. The sisters were headed to an LA amusement park they've heard is zombie free. Can the kid from Ohio get to his family? And what about rule thirty one? —<jhailey@hotmail.com>","{'Columbus': 'Jesse Eisenberg', 'Tallahassee': 'Woody Harrelson', 'Wichita': 'Emma Stone', 'Little Rock': 'Abigail Breslin', '406': 'Amber Heard'}"
Despicable Me (2010),"High school teacher, Rainer Wenger, may be popular with the students, but he's also unorthodox. He's forced to teach autocracy for the school's project week. He's less than enthusiastic at first, but the response of the students is surprising to say the least. He forces the students to become more invested in the prospect of self rule, and soon the class project has its own power and eerily starts to resemble Germany's past. Can Wegner and his class realize what's happening before the horrors start repeating themselves? —napierslogs","{'Rainer Wenger': 'Jürgen Vogel', 'Tim Stoltefuss': 'Frederick Lau', 'Marco': 'Max Riemelt', 'Karo': 'Jennifer Ulrich', 'Anke Wenger': 'Christiane Paul'}"
50/50 (2011),"After finally catching serial killer and occult ""sorcerer"" Lord Blackwood, legendary sleuth Sherlock Holmes and his assistant Dr. Watson can close yet another successful case. But when Blackwood mysteriously returns from the grave and resumes his killing spree, Holmes must take up the hunt once again. Contending with his partner's new fiancée and the dimwitted head of Scotland Yard, the dauntless detective must unravel the clues that will lead him into a twisted web of murder, deceit, and black magic - and the deadly embrace of temptress Irene Adler.","{'Sherlock Holmes': 'Robert Downey Jr.', 'Dr. John Watson': 'Jude Law', 'Irene Adler': 'Rachel McAdams', 'Lord Henry Blackwood': 'Mark Strong', 'Inspector Lestrade': 'Eddie Marsan'}"
Celda 211 (2009),"Based on the true story of Leigh Anne Tuohy and Sean Tuohy who take in a homeless teenage African-American, Michael Oher. Michael has no idea who his father is and his mother is a drug addict. Michael has had little formal education and few skills to help him learn. Leigh Anne soon takes charge however, as is her nature, ensuring that the young man has every opportunity to succeed. When he expresses an interest in football, she goes all out to help him, including giving the coach a few ideas on how best to use Michael's skills. They not only provide him with a loving home, but hire a tutor to help him improve his grades to the point where he would qualify for an NCAA Division I athletic scholarship. Michael Oher was the first-round pick of the Baltimore Ravens in the 2009 NFL draft.","{'Leigh Anne Tuohy': 'Sandra Bullock', 'Sean Tuohy': 'Tim McGraw', 'Michael Oher': 'Quinton Aaron', 'S.J. Tuohy': 'Jae Head', 'Collins Tuohy': 'Lily Collins'}"
